Tahun,Brand,Model,EngineSize,Jarak,Transmisi,Harga
2012,Toyota,86,2,16800,Automatic,450000000
2012,Toyota,86,2,50400,Automatic,448000000
2013,Toyota,86,2,22400,Automatic,445000000
2013,Toyota,86,2,30000,Manual,550000000
2018,Toyota,86,2,16800,Automatic,675000000
2018,Toyota,86,2,30000,Automatic,620000000
2019,Toyota,86,2,12000,Automatic,680000000
2021,Toyota,86,2,5600,Automatic,785000000
2021,Toyota,86,2,4000,Automatic,785000000
2019,Honda,Accord,1.5,5100,Automatic,615000000
2019,Honda,Accord,1.5,30000,Automatic,575000000
2019,Honda,Accord,1.5,30600,Automatic,575000000
2019,Honda,Accord,1.5,30998,Automatic,569000000
2019,Honda,Accord,1.5,35000,Automatic,585000000
2019,Honda,Accord,1.5,10000,Automatic,565000000
2019,Honda,Accord,1.5,35000,Automatic,585000000
2019,Honda,Accord,1.5,40000,Automatic,579000000
2019,Honda,Accord,1.5,35000,Automatic,577500000
2020,Honda,Accord,1.5,5100,Automatic,645000000
2020,Honda,Accord,1.5,15000,Automatic,625000000
2010,Honda,Accord,2.4,30000,Manual,139000000
2010,Honda,Accord,2.4,30000,Manual,139000000
2010,Honda,Accord,2.4,30000,Manual,139000000
2010,Honda,Accord,2.4,100000,Automatic,141000000
2010,Honda,Accord,2.4,65000,Automatic,160000000
2011,Honda,Accord,2.4,68000,Automatic,185000000
2011,Honda,Accord,2.4,75000,Automatic,170000000
2011,Honda,Accord,2.4,61200,Automatic,156000000
2011,Honda,Accord,2.4,76000,Automatic,168000000
2012,Honda,Accord,2.4,61200,Automatic,205000000
2012,Honda,Accord,2.4,65000,Automatic,185000000
2012,Honda,Accord,2.4,71400,Automatic,180000000
2012,Honda,Accord,2.4,80000,Automatic,184000000
2012,Honda,Accord,2.4,79086,Automatic,185000000
2013,Honda,Accord,2.4,117300,Automatic,243000000
2013,Honda,Accord,2.4,114000,Automatic,238000000
2013,Honda,Accord,2.4,90000,Automatic,237000000
2013,Honda,Accord,2.4,105000,Automatic,265000000
2014,Honda,Accord,2.4,71400,Automatic,267000000
2015,Honda,Accord,2.4,64000,Automatic,280000000
2015,Honda,Accord,2.4,114027,Automatic,276400000
2015,Honda,Accord,2.4,115000,Automatic,285000000
2015,Honda,Accord,2.4,85000,Automatic,275025000
2015,Honda,Accord,2.4,115000,Automatic,276400000
2016,Honda,Accord,2.4,51000,Automatic,320000000
2016,Honda,Accord,2.4,40000,Automatic,350000000
2016,Honda,Accord,2.4,60000,Automatic,320000000
2016,Honda,Accord,2.4,55000,Automatic,360000000
2018,Honda,Accord,2.4,21000,Automatic,470000000
2018,Honda,Accord,2.4,12338,Automatic,432600000
2018,Honda,Accord,2.4,15000,Automatic,446000000
2018,Honda,Accord,2.4,15000,Automatic,432600000
2018,Honda,Accord,2.4,35000,Automatic,395000000
2013,Toyota,Agya,1,14000,Automatic,95000000
2013,Toyota,Agya,1,55932,Automatic,85000000
2013,Toyota,Agya,1,89600,Automatic,82000000
2014,Toyota,Agya,1,117600,Automatic,88000000
2014,Toyota,Agya,1,40000,Manual,85000000
2014,Toyota,Agya,1,66506,Automatic,91665000
2014,Toyota,Agya,1,70000,Automatic,94500000
2014,Toyota,Agya,1,65000,Manual,90000000
2014,Toyota,Agya,1,50000,Automatic,88000000
2014,Toyota,Agya,1,17000,Manual,82000000
2015,Toyota,Agya,1,41776,Automatic,94000000
2015,Toyota,Agya,1,12431,Manual,92000000
2015,Toyota,Agya,1,49083,Manual,88000000
2015,Toyota,Agya,1,75000,Automatic,88000000
2015,Toyota,Agya,1,16800,Manual,87000000
2015,Toyota,Agya,1,78400,Automatic,86000000
2015,Toyota,Agya,1,56000,Manual,82000000
2015,Toyota,Agya,1,106278,Automatic,93600000
2015,Toyota,Agya,1,4541,Automatic,92600000
2015,Toyota,Agya,1,50000,Automatic,96000000
2015,Toyota,Agya,1,40000,Automatic,97500000
2015,Toyota,Agya,1,110000,Automatic,93600000
2015,Toyota,Agya,1,45000,Automatic,115000000
2016,Toyota,Agya,1,44000,Automatic,98000000
2016,Toyota,Agya,1,22400,Automatic,89000000
2016,Toyota,Agya,1,80000,Manual,85000000
2016,Toyota,Agya,1,83000,Manual,80000000
2016,Toyota,Agya,1,29117,Manual,99425000
2016,Toyota,Agya,1,4563,Manual,100984000
2016,Toyota,Agya,1,30000,Automatic,102500000
2016,Toyota,Agya,1,135000,Automatic,105000000
2016,Toyota,Agya,1,5000,Manual,103984000
2016,Toyota,Agya,1,30000,Automatic,99425000
2017,Toyota,Agya,1,70000,Automatic,120086000
2017,Toyota,Agya,1.2,77000,Automatic,105000000
2017,Toyota,Agya,1.2,44873,Manual,112915000
2017,Toyota,Agya,1.2,35588,Automatic,123675000
2017,Toyota,Agya,1.2,14788,Manual,116206000
2017,Toyota,Agya,1.2,40456,Automatic,125600000
2017,Toyota,Agya,1.2,10921,Automatic,128500000
2017,Toyota,Agya,1.2,66706,Automatic,120086000
2017,Toyota,Agya,1.2,70000,Automatic,120086000
2017,Toyota,Agya,1.2,45000,Automatic,129500000
2017,Toyota,Agya,1.2,45000,Manual,115915000
2017,Toyota,Agya,1.2,15000,Automatic,132500000
2017,Toyota,Agya,1.2,15000,Manual,116206000
2017,Toyota,Agya,1.2,40000,Automatic,123675000
2017,Toyota,Agya,1.2,45000,Manual,112000000
2017,Toyota,Agya,1.2,15000,Manual,117000000
2018,Toyota,Agya,1.2,22400,Automatic,129000000
2018,Toyota,Agya,1.2,18408,Manual,118000000
2018,Toyota,Agya,1.2,44966,Automatic,116000000
2018,Toyota,Agya,1.2,22400,Manual,115000000
2018,Toyota,Agya,1.2,16800,Manual,114000000
2018,Toyota,Agya,1.2,10000,Manual,99000000
2018,Toyota,Agya,1.2,60631,Automatic,126495000
2018,Toyota,Agya,1.2,40007,Automatic,126495000
2018,Toyota,Agya,1.2,38102,Manual,113213000
2018,Toyota,Agya,1.2,30583,Manual,117800000
2018,Toyota,Agya,1.2,19298,Manual,119310000
2018,Toyota,Agya,1.2,49007,Automatic,128800000
2018,Toyota,Agya,1.2,63783,Manual,117370000
2018,Toyota,Agya,1.2,28218,Automatic,129400000
2018,Toyota,Agya,1.2,4892,Automatic,129100000
2018,Toyota,Agya,1.2,17688,Manual,109416000
2018,Toyota,Agya,1.2,65000,Automatic,129495000
2018,Toyota,Agya,1.2,65000,Manual,121000000
2018,Toyota,Agya,1.2,35000,Manual,121500000
2018,Toyota,Agya,1.2,50000,Automatic,133500000
2018,Toyota,Agya,1.2,45000,Automatic,129495000
2018,Toyota,Agya,1.2,20000,Manual,119310000
2018,Toyota,Agya,1.2,50000,Automatic,134500000
2018,Toyota,Agya,1.2,15000,Manual,120000000
2018,Toyota,Agya,1.2,40000,Manual,119213000
2018,Toyota,Agya,1.2,30000,Automatic,133500000
2018,Toyota,Agya,1.2,20000,Manual,109416000
2018,Toyota,Agya,1.2,50000,Automatic,133500000
2018,Toyota,Agya,1.2,45000,Automatic,124000000
2018,Toyota,Agya,1.2,50000,Automatic,129000000
2018,Toyota,Agya,1.2,65000,Automatic,133500000
